pipe_id,pipe_age_yrs,diameter_mm,material,soil_type,burial_depth_m,num_prior_repairs,avg_pressure_bar,pressure_variance,avg_flow_lps,flow_variance,pressure_drop_pct,soil_temp_c,elevation_m,zone,failure
P03074,30,200,ductile_iron,clay,2.33,1,3.86,0.36,,0.86,4.25,10.1,474.2,Zone_A,0
P03075,24,100,concrete,rocky,1.82,2,3.14,0.438,104.17,1.71,9.35,15.9,445.7,Zone_C,0
P03076,42,150,cast_iron,rocky,2.77,2,2.24,0.18,86.12,2.356,3.0,28.6,260.5,Zone_A,0
P03077,30,400,PVC,loam,2.04,4,4.28,,69.33,0.145,2.96,24.5,419.0,Zone_A,0
P03078,14,300,cast_iron,sandy,3.49,1,6.08,1.907,113.95,1.06,12.41,18.1,460.5,Zone_E,0
P03079,6,300,PVC,clay,2.56,2,2.68,0.075,10.37,2.507,8.24,16.1,74.4,Zone_A,0
P03080,3,150,steel,loam,0.7,2,5.51,,103.54,0.795,4.7,15.8,139.2,Zone_A,0
P03081,16,300,PVC,sandy,1.71,1,2.91,0.219,41.65,2.833,8.23,,113.4,Zone_D,0
P03082,7,50,steel,loam,2.69,2,2.41,,79.65,0.838,6.42,9.7,335.8,Zone_A,0
P03083,52,100,ductile_iron,rocky,3.03,1,2.55,0.151,110.23,2.848,14.26,6.5,491.7,Zone_A,0
P03084,14,150,concrete,sandy,2.94,0,3.26,,45.72,6.238,3.02,28.9,25.8,Zone_E,0
P03085,9,150,ductile_iron,clay,3.43,2,19.673598671745665,0.169,61.94,1.403,9.96,22.6,497.6,Zone_D,0
P03086,15,100,cast_iron,sandy,1.97,3,4.67,0.147,42.1,1.318,13.7,15.3,66.6,Zone_A,0
P03087,21,150,ductile_iron,sandy,0.92,1,4.86,0.924,85.99,1.325,10.82,17.6,315.5,Zone_A,0
P03088,35,100,PVC,clay,2.46,1,4.26,0.156,20.0,6.088,5.81,11.0,342.8,Zone_B,0
P03089,2,150,steel,rocky,0.71,2,7.28,0.99,91.59,0.347,11.2,11.2,28.2,Zone_A,0
P03090,27,200,PVC,rocky,3.42,0,7.31,1.741,94.78,2.696,3.48,19.7,173.2,Zone_C,0
P03091,2,200,PVC,rocky,2.78,2,5.95,0.163,12.59,2.341,10.75,15.0,239.1,Zone_C,0
P03092,35,100,steel,rocky,3.45,0,3.94,0.416,50.97,2.002,11.8,18.5,454.5,Zone_D,0
P03093,18,150,steel,rocky,1.63,5,3.11,0.305,85.13,2.69,5.64,21.3,354.0,Zone_D,0
P03094,14,200,PVC,rocky,0.55,3,6.19,0.938,15.85,0.769,8.33,31.8,317.6,Zone_A,0
P03095,20,150,steel,loam,2.06,3,7.98,0.184,,5.263,8.47,22.6,73.4,Zone_B,0
P03096,18,150,PVC,clay,0.86,2,6.92,0.724,78.89,4.768,8.34,17.1,152.1,Zone_B,0
P03097,10,150,cast_iron,clay,2.54,1,3.97,0.323,58.26,0.524,3.01,6.1,225.4,Zone_D,0
P03098,25,400,cast_iron,clay,1.99,2,3.15,0.498,15.92,1.445,9.47,12.1,158.0,Zone_B,0
P03099,2,50,concrete,sandy,2.76,1,6.91,0.43,13.2,0.753,6.09,,224.4,Zone_C,0
P03100,25,150,cast_iron,rocky,1.37,1,4.41,0.032,33.2,3.129,2.0,11.7,460.8,Zone_B,0
P03101,54,150,ductile_iron,sandy,2.99,1,5.51,0.444,95.88,4.611,0.83,14.5,306.6,Zone_D,0
P03102,33,150,concrete,sandy,2.45,2,2.26,,107.35,1.531,12.35,14.9,264.0,Zone_E,0
P03103,36,100,cast_iron,clay,3.46,0,6.84,0.17,33.49,0.773,11.39,,273.5,Zone_A,0
P03104,31,100,steel,clay,1.04,2,3.21,0.258,40.01,2.074,13.97,17.3,388.9,Zone_E,0
P03105,14,100,steel,sandy,0.65,1,6.58,,24.57,0.307,7.17,15.1,487.8,Zone_C,0
P03106,1,400,concrete,clay,3.05,2,5.96,0.118,83.88,1.422,9.2,31.4,491.1,Zone_D,0
P03107,46,200,ductile_iron,clay,1.52,2,4.47,0.183,8.19,2.843,0.95,13.7,333.0,Zone_E,0
P03108,16,200,ductile_iron,sandy,1.79,1,5.2,0.701,112.05,0.61,4.52,18.7,190.4,Zone_C,0
P03109,54,200,concrete,sandy,3.28,2,5.23,0.328,36.63,0.995,11.27,17.9,299.4,Zone_B,0
P03110,46,100,cast_iron,clay,1.82,2,3.35,0.588,,2.125,4.14,20.3,43.3,Zone_B,0
P03111,52,300,PVC,loam,1.39,2,2.78,1.371,115.93,6.421,1.68,23.8,89.3,Zone_C,0
P03112,3,150,PVC,sandy,0.68,1,6.86,0.655,21.89,0.165,0.93,,446.5,Zone_B,0
P03113,35,100,ductile_iron,clay,1.83,3,6.14,0.234,19.3,0.338,6.8,9.2,376.6,Zone_E,0
P03114,41,200,concrete,loam,2.46,1,18.94381134819497,,36.72,0.274,13.12,16.2,129.8,Zone_D,0
P03115,6,200,PVC,sandy,1.31,0,3.67,0.163,72.8,0.499,5.54,16.2,211.9,Zone_B,0
P03116,25,200,cast_iron,clay,2.65,1,4.41,0.034,5.16,0.125,10.0,20.9,40.5,Zone_B,0
P03117,13,100,cast_iron,rocky,1.93,0,2.88,0.548,74.68,0.899,6.46,13.6,433.6,Zone_E,0
P03118,53,400,cast_iron,loam,3.07,1,6.53,0.542,71.34,0.659,11.79,16.0,157.6,Zone_A,1
P03119,34,400,cast_iron,sandy,0.99,2,2.09,0.97,10.28,0.442,12.05,14.5,278.0,Zone_A,1
P03120,8,150,PVC,rocky,2.77,1,2.02,0.087,65.15,0.595,14.2,23.6,493.2,Zone_B,0
P03121,21,50,cast_iron,rocky,3.3,3,5.13,1.078,100.96,2.063,5.07,16.5,98.4,Zone_B,0
P03122,34,100,ductile_iron,clay,2.72,2,4.07,0.791,39.44,2.336,7.07,19.2,442.3,Zone_D,0
P03123,4,400,concrete,rocky,1.72,4,2.86,0.057,99.09,5.276,9.69,18.8,136.7,Zone_B,0
P03124,25,150,PVC,rocky,1.19,0,6.34,2.02,,0.472,7.51,8.4,66.2,Zone_A,0
P03125,15,150,ductile_iron,clay,0.8,1,15.548934290198801,0.02,101.83,0.213,1.26,12.1,20.8,Zone_B,0
P03126,4,100,concrete,loam,2.43,2,3.68,0.792,59.16,0.121,9.69,31.0,421.3,Zone_C,0
P03127,45,100,cast_iron,clay,0.93,3,5.62,0.28,108.59,1.359,1.65,15.8,10.9,Zone_E,0
P03128,12,200,concrete,loam,3.01,0,6.47,1.003,110.09,2.076,12.61,7.7,476.6,Zone_C,0
P03129,32,150,PVC,loam,3.38,2,5.69,0.652,5.74,0.548,1.24,10.5,99.9,Zone_B,0
P03130,32,400,PVC,sandy,0.91,0,4.3,0.031,49.37,2.192,11.72,28.8,407.9,Zone_A,0
P03131,28,200,steel,rocky,1.63,1,5.33,0.137,107.04,0.415,2.27,15.7,432.2,Zone_C,0
P03132,13,200,PVC,rocky,3.31,0,6.35,1.523,6.6,0.503,11.11,19.1,51.6,Zone_D,0
P03133,31,100,steel,rocky,1.91,1,7.66,0.08,16.74,2.183,0.35,23.8,197.4,Zone_A,0
P03134,14,50,steel,sandy,2.11,0,6.63,0.035,54.56,6.178,1.68,18.2,145.7,Zone_D,0
P03135,20,150,ductile_iron,clay,2.74,0,,0.084,,4.669,0.31,18.1,17.5,Zone_B,0
P03136,18,100,ductile_iron,rocky,1.13,3,6.03,0.637,111.65,0.055,2.74,19.0,217.4,Zone_A,0
P03137,29,100,steel,clay,3.44,0,7.5,0.02,72.28,7.967,0.01,5.2,247.8,Zone_A,0
P03138,6,400,PVC,sandy,2.84,2,5.11,,34.05,0.907,1.3,18.9,342.9,Zone_C,0
P03139,32,150,steel,rocky,0.98,1,2.57,0.048,,1.616,0.38,13.7,129.7,Zone_C,0
P03140,29,100,PVC,clay,0.83,1,5.85,0.581,42.13,0.847,6.52,13.3,424.8,Zone_E,0
P03141,43,100,PVC,sandy,3.3,1,5.63,0.146,80.14,3.479,2.36,19.2,245.0,Zone_C,0
P03142,2,100,cast_iron,sandy,2.56,1,2.81,0.577,24.48,2.232,4.31,9.8,338.6,Zone_C,0
P03143,23,400,ductile_iron,clay,0.62,0,3.44,0.096,74.21,4.194,3.94,20.8,239.4,Zone_D,0
P03144,19,100,PVC,sandy,0.93,2,6.03,0.252,84.54,0.477,12.46,25.7,49.9,Zone_C,0
P03145,31,100,PVC,clay,0.64,3,7.84,1.298,87.17,2.046,2.45,17.8,499.5,Zone_C,0
P03146,51,200,PVC,clay,3.42,1,,0.242,117.37,1.517,7.48,11.6,391.5,Zone_D,0
P03147,5,100,PVC,rocky,1.99,3,5.68,0.061,8.02,1.778,1.04,16.9,490.8,Zone_B,0
P03148,19,100,PVC,sandy,1.89,0,4.84,0.231,13.9,0.91,,5.6,412.9,Zone_D,0
P03149,34,100,steel,loam,3.37,0,15.367104556965234,0.303,74.59,0.013,12.06,26.6,234.2,Zone_B,0
P03150,10,100,ductile_iron,clay,2.01,3,7.49,0.307,60.49,2.439,7.75,32.2,348.3,Zone_E,0
P03151,25,100,PVC,loam,2.05,0,7.62,0.618,77.33,2.506,3.88,19.1,419.4,Zone_E,0
P03152,2,50,cast_iron,rocky,3.45,0,2.98,0.067,84.77,4.081,6.12,10.3,325.4,Zone_D,0
P03153,11,200,PVC,loam,0.83,1,6.24,0.31,8.95,6.568,8.34,12.9,328.8,Zone_E,0
P03154,50,100,ductile_iron,loam,3.46,1,6.64,0.146,60.49,0.444,13.57,27.1,108.4,Zone_C,0
P03155,31,200,ductile_iron,clay,1.0,4,7.54,0.294,62.16,0.141,12.57,18.6,63.7,Zone_D,0
P03156,56,200,ductile_iron,sandy,1.92,0,2.44,0.095,76.44,3.073,14.42,27.2,369.9,Zone_B,0
P03157,15,150,cast_iron,rocky,1.51,0,7.59,0.134,46.22,4.219,2.68,7.2,287.2,Zone_D,0
P03158,9,100,PVC,rocky,3.37,0,3.48,0.402,12.83,0.375,2.97,13.3,368.9,Zone_A,0
P03159,23,100,concrete,sandy,1.96,2,7.15,0.179,42.12,0.231,1.5,17.2,295.6,Zone_E,0
P03160,19,200,ductile_iron,rocky,0.57,2,16.030443748619266,0.087,30.04,3.778,7.63,10.1,16.2,Zone_E,0
P03161,9,150,PVC,clay,1.17,1,6.76,0.483,95.43,7.611,2.71,11.2,486.7,Zone_E,0
P03162,35,200,PVC,loam,1.79,0,3.76,,106.16,1.048,10.33,35.8,70.2,Zone_D,0
P03163,21,50,ductile_iron,clay,2.53,0,,0.861,24.98,4.706,14.34,22.2,358.2,Zone_B,0
P03164,9,300,cast_iron,loam,2.19,2,3.57,0.898,75.07,2.951,8.52,19.0,311.2,Zone_E,0
P03165,28,50,cast_iron,clay,3.05,1,,0.009,28.11,0.684,10.76,15.2,131.4,Zone_D,0
P03166,46,150,steel,rocky,2.99,4,6.9,0.579,100.68,0.342,3.0,30.9,415.6,Zone_D,0
P03167,51,150,ductile_iron,loam,2.27,1,5.51,3.357,93.75,0.434,12.24,10.1,138.3,Zone_D,1
P03168,7,50,cast_iron,clay,2.21,2,3.81,0.648,71.92,1.494,12.85,,44.5,Zone_B,0
P03169,16,150,ductile_iron,loam,1.33,2,6.2,0.155,41.5,1.013,,18.9,349.6,Zone_B,0
P03170,16,200,PVC,loam,3.37,0,,0.415,118.06,6.369,12.98,15.9,169.8,Zone_B,0
P03171,33,200,PVC,clay,0.73,3,5.35,0.325,79.34,1.073,4.67,18.9,89.9,Zone_E,0
P03172,4,300,ductile_iron,clay,1.69,1,3.31,0.307,89.96,0.204,7.92,19.5,96.4,Zone_E,0
P03173,4,150,PVC,sandy,2.48,2,5.48,0.641,106.25,0.254,4.64,14.9,17.7,Zone_C,0
P03174,39,150,PVC,clay,3.34,4,5.51,0.068,99.73,4.724,13.18,22.9,159.2,Zone_C,0
P03175,40,50,cast_iron,loam,2.0,2,5.79,0.064,99.4,1.46,13.63,17.7,145.4,Zone_C,0
P03176,17,150,ductile_iron,sandy,3.19,1,18.910053353585337,0.353,34.22,5.817,10.11,13.2,246.1,Zone_D,0
P03177,37,100,PVC,sandy,0.81,3,7.88,1.824,41.33,6.0,3.3,24.9,244.9,Zone_A,0
P03178,39,150,PVC,sandy,2.09,4,2.66,0.032,50.14,6.582,1.69,3.9,342.9,Zone_C,0
P03179,52,100,PVC,rocky,1.45,3,3.15,0.231,110.43,5.089,13.57,10.5,260.9,Zone_B,0
P03180,29,150,PVC,loam,2.89,2,6.89,0.355,11.58,4.376,5.34,28.3,408.7,Zone_E,0
P03181,52,150,ductile_iron,loam,1.83,3,5.17,0.001,34.8,1.939,9.74,15.4,438.5,Zone_B,0
P03182,36,300,ductile_iron,sandy,1.93,0,6.47,0.175,55.93,6.061,12.25,20.4,280.5,Zone_C,0
P03183,38,150,PVC,clay,0.69,0,4.5,,87.24,3.175,10.03,,425.3,Zone_B,0
P03184,39,400,PVC,clay,1.81,0,7.03,0.611,23.65,2.287,14.83,19.7,495.2,Zone_B,0
P03185,50,200,cast_iron,loam,0.74,0,4.53,0.289,63.36,4.493,8.61,18.3,334.3,Zone_A,0
P03186,37,150,concrete,sandy,1.4,2,7.68,0.487,43.54,3.307,8.4,,103.6,Zone_D,0
P03187,52,150,PVC,sandy,0.88,0,4.35,0.461,29.88,0.96,9.25,16.5,271.4,Zone_E,0
P03188,35,100,ductile_iron,rocky,1.5,2,3.69,0.221,12.08,0.657,8.0,24.3,40.0,Zone_E,0
P03189,7,200,PVC,sandy,1.18,2,2.61,0.018,99.54,0.327,11.66,18.9,391.9,Zone_A,0
P03190,27,150,cast_iron,rocky,1.36,2,7.09,0.156,83.73,6.017,14.07,17.3,30.8,Zone_E,0
P03191,28,400,PVC,rocky,0.95,3,7.7,0.328,37.31,0.179,13.58,22.3,246.3,Zone_C,0
P03192,22,150,PVC,clay,1.82,2,7.37,0.113,49.76,2.943,7.41,17.1,466.0,Zone_D,0
P03193,14,200,cast_iron,rocky,1.99,2,6.56,1.388,68.03,0.977,13.91,13.4,425.8,Zone_B,0
P03194,7,200,steel,clay,3.01,0,4.59,0.267,41.94,1.256,2.17,7.8,34.4,Zone_E,0
P03195,37,100,steel,rocky,2.12,1,3.85,0.217,26.54,0.258,8.33,14.6,197.3,Zone_A,0
P03196,22,100,cast_iron,sandy,1.19,2,3.71,0.057,29.23,0.253,7.63,32.6,169.6,Zone_E,0
P03197,5,150,ductile_iron,loam,2.71,2,6.56,0.162,102.83,0.865,3.17,6.8,44.8,Zone_B,0
P03198,55,150,cast_iron,loam,1.39,1,4.07,0.432,60.74,2.498,14.75,24.9,64.2,Zone_C,1
P03199,2,100,steel,sandy,2.77,1,6.71,0.856,59.22,0.624,14.38,23.0,286.7,Zone_E,0
P03200,27,300,ductile_iron,loam,1.66,2,7.89,0.742,49.57,2.383,0.03,22.5,169.3,Zone_D,0
P03201,21,150,ductile_iron,rocky,2.04,2,3.13,0.578,88.11,11.382,8.07,29.8,31.2,Zone_D,0
P03202,54,400,ductile_iron,rocky,2.01,2,2.68,1.348,100.41,1.106,2.28,22.6,427.2,Zone_A,0
P03203,38,200,ductile_iron,loam,3.37,2,12.86981652757785,0.139,87.87,5.483,5.1,15.1,277.1,Zone_D,0
P03204,15,150,PVC,loam,0.96,3,2.35,0.134,60.73,0.165,4.98,19.4,354.6,Zone_B,0
P03205,21,300,PVC,clay,3.32,3,6.15,0.024,28.06,0.752,5.16,23.6,351.0,Zone_E,0
P03206,10,150,PVC,rocky,2.19,2,5.56,0.608,67.31,1.828,8.63,20.4,49.0,Zone_E,0
P03207,23,300,PVC,loam,3.48,1,5.39,0.808,,0.484,7.72,14.8,12.1,Zone_A,0
P03208,58,150,PVC,rocky,2.22,1,5.49,0.15,52.53,0.934,6.96,23.2,423.9,Zone_B,0
P03209,56,150,cast_iron,loam,2.47,3,2.42,0.782,118.95,1.201,7.83,19.9,486.0,Zone_B,1
P03210,39,150,cast_iron,clay,2.75,1,3.75,0.617,112.53,2.243,,18.9,283.8,Zone_D,0
P03211,5,150,ductile_iron,clay,2.97,1,3.6,0.389,112.26,0.492,3.78,17.7,262.7,Zone_A,0
P03212,1,150,PVC,clay,1.93,3,4.87,0.403,73.26,0.87,12.23,15.8,68.5,Zone_D,0
P03213,13,150,concrete,loam,2.54,1,7.27,0.611,68.57,6.187,8.28,17.1,283.9,Zone_C,0
P03214,21,100,cast_iron,clay,2.34,0,7.83,3.148,66.39,0.619,3.95,,20.4,Zone_B,1
P03215,26,300,ductile_iron,loam,1.72,1,5.67,0.192,58.97,2.658,2.58,14.6,397.4,Zone_E,0
P03216,50,150,cast_iron,clay,2.96,2,3.48,0.038,23.52,4.096,11.49,23.9,264.4,Zone_B,1
P03217,45,150,steel,sandy,1.08,3,4.28,,105.83,2.225,7.89,17.9,361.2,Zone_A,0
P03218,21,200,steel,clay,1.0,0,3.95,0.015,99.03,3.108,2.77,9.7,243.7,Zone_E,0
P03219,53,200,cast_iron,sandy,2.71,2,3.22,1.126,90.42,8.275,,15.2,372.5,Zone_A,1
P03220,18,400,PVC,clay,2.41,1,7.87,1.801,84.34,0.806,10.51,,280.1,Zone_B,0
P03221,37,150,PVC,loam,1.45,1,2.79,0.648,58.65,0.597,4.91,30.1,271.4,Zone_B,0
P03222,45,100,cast_iron,clay,2.41,1,5.4,0.21,119.49,1.197,4.16,18.9,191.9,Zone_E,0
P03223,32,150,ductile_iron,clay,2.81,3,6.79,0.128,55.69,2.034,3.3,12.8,150.0,Zone_D,0
P03224,36,150,PVC,rocky,1.15,1,7.64,0.058,35.2,0.227,1.07,13.6,385.3,Zone_D,0
P03225,17,300,cast_iron,clay,2.24,1,3.21,0.003,43.36,0.108,14.16,18.0,358.1,Zone_C,0
P03226,35,150,ductile_iron,rocky,2.97,0,,0.281,87.25,0.296,14.36,19.7,451.6,Zone_D,0
P03227,49,400,cast_iron,rocky,1.73,2,4.98,0.521,39.63,0.365,6.07,16.4,395.5,Zone_A,0
P03228,11,150,PVC,sandy,2.22,1,4.31,0.236,81.89,0.08,1.4,23.3,46.1,Zone_E,0
P03229,21,400,steel,sandy,0.74,3,3.5,0.288,86.74,1.794,5.11,17.4,477.5,Zone_D,0
P03230,52,50,PVC,sandy,2.99,2,2.57,0.578,109.06,1.737,5.4,16.8,377.3,Zone_B,0
P03231,55,300,cast_iron,sandy,2.89,3,,0.263,57.87,1.305,3.89,21.7,179.5,Zone_C,0
P03232,53,300,cast_iron,sandy,1.87,2,3.69,0.742,61.31,0.28,1.51,30.4,326.1,Zone_D,0
P03233,26,400,PVC,clay,0.86,0,3.03,0.514,12.93,5.859,1.52,19.4,384.5,Zone_B,0
P03234,4,50,ductile_iron,sandy,2.48,2,4.21,0.556,25.19,2.444,14.08,,76.9,Zone_C,0
P03235,34,100,PVC,rocky,2.22,5,2.49,0.483,34.04,0.214,11.92,22.3,483.4,Zone_B,0
P03236,52,200,cast_iron,clay,3.26,3,7.5,,112.19,1.719,3.5,29.9,328.8,Zone_A,0
P03237,48,50,steel,loam,1.34,2,5.59,0.576,78.7,0.081,10.7,20.6,19.8,Zone_D,0
P03238,18,50,steel,loam,0.6,1,4.88,0.449,108.75,1.037,0.85,11.0,281.2,Zone_D,0
P03239,40,100,steel,clay,1.26,3,2.78,0.427,40.91,3.302,3.8,26.3,105.1,Zone_C,0
P03240,35,150,ductile_iron,clay,1.78,0,,0.456,42.92,1.516,10.34,20.3,133.0,Zone_A,0
P03241,41,150,PVC,sandy,0.97,1,2.45,2.174,62.35,0.202,9.37,12.3,43.8,Zone_B,0
P03242,29,50,ductile_iron,loam,3.44,1,,0.286,80.86,3.751,9.37,8.0,214.5,Zone_D,0
P03243,52,100,steel,sandy,1.17,0,7.06,0.056,21.92,0.155,5.61,6.5,139.7,Zone_A,0
P03244,29,150,cast_iron,loam,2.53,0,4.83,0.36,24.91,1.336,4.84,21.2,419.9,Zone_E,0
P03245,38,150,steel,loam,1.86,1,6.03,0.081,97.31,1.442,5.91,25.3,431.7,Zone_C,0
P03246,42,100,ductile_iron,rocky,2.17,2,2.53,0.821,104.19,2.971,4.29,21.9,23.2,Zone_B,0
P03247,21,150,steel,clay,3.3,2,4.93,0.144,5.79,8.488,1.27,21.6,388.6,Zone_E,0
P03248,42,300,PVC,loam,2.09,1,6.92,2.72,86.61,1.018,3.02,29.1,29.0,Zone_C,1
P03249,13,400,ductile_iron,clay,1.42,1,2.47,0.098,46.22,2.048,0.69,22.6,229.1,Zone_E,0
P03250,49,400,concrete,clay,1.16,2,3.3,0.237,44.48,1.469,2.57,7.7,61.1,Zone_E,0
P03251,41,300,ductile_iron,sandy,3.18,2,6.66,0.079,69.08,0.166,4.26,,284.8,Zone_A,0
P03252,17,150,concrete,loam,3.46,1,4.75,0.272,91.8,3.192,5.21,20.7,478.5,Zone_D,0
P03253,56,200,steel,rocky,1.26,0,5.99,0.331,111.72,1.479,14.1,24.2,123.0,Zone_B,0
P03254,9,150,concrete,sandy,2.67,3,17.01113503892896,0.68,6.21,1.866,12.08,17.1,421.4,Zone_D,0
P03255,41,150,cast_iron,sandy,2.02,3,2.87,0.001,35.63,0.826,7.67,23.7,394.0,Zone_A,0
P03256,1,100,ductile_iron,clay,2.6,2,4.81,0.131,49.57,4.926,9.88,18.0,382.4,Zone_D,0
P03257,2,150,PVC,loam,3.39,0,5.38,0.157,14.0,2.326,2.59,16.7,140.7,Zone_C,0
P03258,48,150,concrete,sandy,1.33,2,5.69,0.459,9.08,0.883,8.12,15.7,313.6,Zone_A,0
P03259,29,50,cast_iron,sandy,2.72,1,7.09,,119.26,1.374,12.04,9.7,51.9,Zone_C,0
P03260,33,200,cast_iron,loam,1.81,3,4.86,0.334,79.27,0.73,2.36,18.1,247.0,Zone_A,0
P03261,10,50,ductile_iron,loam,2.46,2,3.9,0.334,35.87,2.037,11.71,13.9,460.8,Zone_C,0
P03262,50,100,steel,clay,1.72,2,6.81,0.832,48.2,3.309,6.69,33.9,260.7,Zone_C,0
P03263,58,50,steel,loam,2.63,1,7.38,1.043,86.32,0.84,3.01,19.1,26.5,Zone_B,0
P03264,40,150,ductile_iron,sandy,1.51,1,4.15,1.887,21.7,3.413,0.76,21.1,352.2,Zone_E,0
P03265,21,50,cast_iron,clay,1.97,1,6.36,0.919,53.86,5.232,14.34,11.1,437.6,Zone_A,0
P03266,28,300,PVC,clay,2.63,4,3.27,1.052,104.29,1.005,2.61,21.4,106.6,Zone_B,0
P03267,11,150,cast_iron,rocky,0.63,2,16.7695301634664,1.77,36.2,0.526,,22.9,87.4,Zone_B,0
P03268,55,150,PVC,rocky,1.48,3,4.26,0.878,24.87,5.746,8.08,,23.8,Zone_E,0
P03269,34,100,ductile_iron,clay,2.14,1,4.44,0.114,106.77,0.113,13.81,8.5,383.6,Zone_C,0
P03270,8,150,PVC,loam,0.72,1,2.68,0.786,114.25,1.321,12.33,,456.7,Zone_E,0
P03271,59,200,steel,loam,2.61,0,2.61,0.618,106.23,3.021,3.63,23.6,249.5,Zone_A,0
P03272,22,150,PVC,rocky,2.94,3,6.24,0.406,111.07,0.094,14.85,14.8,146.1,Zone_B,0
P03273,8,200,ductile_iron,rocky,0.99,3,6.31,0.096,51.88,2.046,5.87,20.4,463.3,Zone_C,0
P03274,49,300,steel,loam,2.7,1,2.43,0.025,58.86,3.653,12.21,,107.2,Zone_A,0
P03275,15,300,ductile_iron,clay,2.44,2,5.04,0.122,76.37,0.708,14.78,18.2,217.5,Zone_A,0
P03276,17,200,steel,sandy,1.73,3,5.36,1.048,11.75,0.743,4.59,12.0,453.1,Zone_E,0
P03277,23,100,cast_iron,loam,0.99,2,4.99,0.157,83.41,0.069,11.19,12.3,494.0,Zone_C,0
P03278,24,150,steel,rocky,3.36,2,7.88,0.296,67.39,1.602,2.59,8.7,139.7,Zone_A,0
P03279,45,150,cast_iron,sandy,1.89,3,4.75,3.011,112.81,0.127,8.94,17.7,476.2,Zone_E,1
P03280,19,200,cast_iron,loam,1.05,1,5.27,0.356,67.57,0.004,6.2,15.0,246.0,Zone_A,0
P03281,5,200,ductile_iron,loam,2.65,2,3.86,,118.97,0.271,4.9,20.9,321.6,Zone_A,0
P03282,32,200,concrete,clay,2.32,1,,0.792,116.49,1.141,1.42,9.0,382.3,Zone_A,0
P03283,44,200,concrete,loam,2.95,2,6.91,1.057,51.17,2.746,2.45,16.9,192.0,Zone_C,0
P03284,1,50,cast_iron,clay,3.49,2,7.57,0.202,8.96,2.249,14.15,6.0,419.0,Zone_C,0
P03285,23,50,cast_iron,loam,0.63,3,,0.083,97.87,0.749,9.28,15.7,462.3,Zone_C,0
P03286,37,100,ductile_iron,loam,2.72,0,7.09,1.097,103.05,0.774,2.29,17.4,383.3,Zone_C,0
P03287,8,300,ductile_iron,rocky,3.47,3,4.53,0.47,68.59,2.144,7.19,24.2,67.2,Zone_C,0
P03288,13,200,steel,rocky,2.11,3,5.15,0.453,89.26,2.457,11.02,11.1,36.1,Zone_D,0
P03289,8,200,ductile_iron,clay,2.65,0,3.07,0.422,59.86,2.567,12.07,20.7,157.7,Zone_B,0
P03290,57,200,steel,clay,1.82,2,5.51,0.018,77.78,0.345,11.02,21.0,388.8,Zone_D,0
P03291,23,200,PVC,loam,1.57,1,7.72,0.143,63.9,0.135,2.39,22.4,430.6,Zone_A,0
P03292,43,300,PVC,loam,2.59,0,2.3,,60.18,1.405,13.88,14.5,210.9,Zone_B,0
P03293,1,200,steel,rocky,3.46,2,3.57,0.017,99.32,1.017,7.46,18.6,70.4,Zone_B,0
P03294,45,150,cast_iron,clay,0.77,1,6.17,0.467,25.64,5.298,10.43,25.8,375.8,Zone_A,1
P03295,51,200,cast_iron,rocky,1.77,2,3.61,0.026,53.83,0.012,4.24,,422.1,Zone_A,0
P03296,24,100,steel,sandy,3.32,3,4.21,0.004,82.54,3.31,9.54,,63.5,Zone_B,0
P03297,35,200,cast_iron,clay,0.84,1,3.74,1.112,118.34,9.627,7.91,12.9,218.1,Zone_B,1
P03298,24,150,cast_iron,clay,2.45,1,7.8,1.209,70.75,3.799,2.98,15.7,324.7,Zone_A,0
P03299,17,100,concrete,rocky,1.79,3,,0.171,68.27,3.372,13.48,15.7,379.3,Zone_E,0
P03300,5,200,PVC,sandy,1.63,0,2.8,1.001,63.42,0.045,9.56,27.7,475.8,Zone_A,0
P03301,20,150,ductile_iron,rocky,1.13,2,2.73,0.039,10.97,4.011,5.01,14.6,108.1,Zone_C,0
P03302,21,400,PVC,loam,1.03,0,3.86,0.265,79.85,1.755,9.12,18.2,455.6,Zone_E,0
P03303,40,100,ductile_iron,clay,2.05,2,4.41,0.324,115.84,2.123,13.03,11.7,425.7,Zone_D,0
P03304,58,150,concrete,loam,1.63,4,3.73,0.263,88.09,1.011,8.32,13.8,256.3,Zone_C,0
P03305,31,150,cast_iron,clay,1.97,0,5.3,0.214,41.75,5.765,6.28,13.5,300.0,Zone_C,0
P03306,46,100,PVC,loam,1.09,1,7.23,0.472,80.55,1.481,9.7,17.1,353.0,Zone_D,0
P03307,36,150,steel,sandy,1.55,1,6.73,0.564,62.95,1.923,5.1,14.0,449.3,Zone_E,0
P03308,11,100,PVC,loam,3.49,0,5.47,,81.66,0.469,8.27,14.7,282.1,Zone_B,0
P03309,52,100,steel,sandy,1.6,0,6.35,,119.71,1.634,6.41,17.0,116.7,Zone_D,0
P03310,15,100,concrete,clay,1.74,1,5.97,1.153,75.12,0.499,3.37,6.8,219.4,Zone_A,0
P03311,19,100,PVC,clay,0.56,1,2.4,0.798,,0.243,2.61,17.9,172.7,Zone_B,0
P03312,7,200,ductile_iron,sandy,1.64,1,5.81,0.166,34.16,1.447,7.28,21.5,475.1,Zone_C,0
P03313,51,50,PVC,rocky,2.79,1,7.23,0.112,53.69,3.743,3.33,17.4,59.7,Zone_A,0
